epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/back_bumper,val/AP/back_door,val/AP/back_glass,val/AP/back_left_door,val/AP/back_left_light,val/AP/back_light,val/AP/back_right_door,val/AP/back_right_light,val/AP/front_bumper,val/AP/front_door,val/AP/front_glass,val/AP/front_left_door,val/AP/front_left_light,val/AP/front_light,val/AP/front_right_door,val/AP/front_right_light,val/AP/hood,val/AP/left_mirror,val/AP/object,val/AP/right_mirror,val/AP/tailgate,val/AP/trunk,val/AP/wheel,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.104166848468594e-05,5.104166848468594e-05,1.6499545836268226e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999954636441544e-05,9.999954636441544e-05,3.232549488529912e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.985790529754013e-05,9.985790529754013e-05,3.227970864827512e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3405989110469818,0.42251676321029663,0.09833325445652008,0.09972493350505829,0.37942859530448914,0.10348889231681824,0.13281042873859406,0.6884968280792236,0.42250463366508484,0.7651057243347168,0.139676034450531,0.0,0.5422525405883789,0.2584887146949768,0.23286357522010803,0.7517766356468201,0.21187900006771088,0.0,0.23432044684886932,0.17375679314136505,0.1681687980890274,0.30366623401641846,0.37331312894821167,2.864229679107666,3.4281983375549316,2.9738903045654297,3.0156657695770264,3.6109659671783447,31.081531524658203,0.3732450604438782,0.28317421674728394,0.6347498893737793,0.37630873918533325,0.26669150590896606,12.387819290161133,0.03718128055334091,0.044833067804574966,0.040484897792339325,0.03833397105336189,0.06140194460749626,0.919381856918335,1.006224513053894,0.9372671842575073,0.9337432384490967,0.9975024461746216,0.14370474219322205,0.16223563253879547,0.15121418237686157,0.14545108377933502,0.20186445116996765,0.06425131112337112,0.07092162221670151,0.06837190687656403,0.06525088101625443,0.09910310804843903,0.09997972846031189,0.11553379148244858,0.10881330072879791,0.10479475557804108,0.1776965707540512,0.37251728773117065,0.2812981605529785,0.32253432273864746,0.638399600982666,0.29526108503341675,0.5772555470466614,0.37616029381752014,0.26638785004615784
0,191,13.861979484558105,8.689778327941895,12.861002922058105,13.375651359558105,9.417317390441895,58.37063217163086,21.52657127380371,0.09166159480810165,0.12241902202367783,0.10650885105133057,0.09721376746892929,0.14135277271270752,1.0306130647659302,1.031412124633789,1.009548306465149,1.0224920511245728,0.9910056591033936,0.2685019075870514,0.32884636521339417,0.3019273579120636,0.28169506788253784,0.3793086111545563,0.13255180418491364,0.1604626327753067,0.1445769965648651,0.13559885323047638,0.2093067318201065,0.2016124576330185,0.24508614838123322,0.22648943960666656,0.21201175451278687,0.437335729598999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.946403588401154e-05,9.946403588401154e-05,3.215238621123717e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.881992446025833e-05,9.881992446025833e-05,3.1944175589160295e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79288452072069e-05,9.79288452072069e-05,3.1656127248425037e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.679529466666281e-05,9.679529466666281e-05,3.128970092802774e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468522310256958,0.5528458952903748,0.6070315837860107,0.1621701866388321,0.18555574119091034,0.4611300528049469,0.24087359011173248,0.1902306228876114,0.803200364112854,0.5662499070167542,0.8036369681358337,0.2077217400074005,0.17300330102443695,0.5846998691558838,0.3179769217967987,0.2835204303264618,0.7843784093856812,0.23214146494865417,0.0,0.259796679019928,0.37997210025787354,0.3627599775791168,0.35685890913009644,0.5141586661338806,2.206266403198242,2.806788444519043,2.271540403366089,2.295039176940918,2.887728452682495,21.189090728759766,0.5074491500854492,0.39600908756256104,0.7435097694396973,0.5072032809257507,0.3713092505931854,11.221672058105469,0.035250503569841385,0.040526244789361954,0.03825124725699425,0.0367080420255661,0.05889633670449257,0.7901948094367981,0.9086854457855225,0.8355817198753357,0.8115823268890381,0.889404296875,0.13572587072849274,0.14988073706626892,0.1430039405822754,0.13878273963928223,0.18879999220371246,0.05925799533724785,0.06434914469718933,0.06261542439460754,0.06031445786356926,0.08379759639501572,0.09583163261413574,0.10549033433198929,0.10740922391414642,0.10043646395206451,0.14563237130641937,0.5069528222084045,0.39062073826789856,0.4488353431224823,0.7384448647499084,0.43204930424690247,0.6754821538925171,0.5070801973342896,0.36876678466796875
