epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02993885800242424,5.266666889190674,5.266666889190674,5.266666889190674,5.266666889190674,5.199999809265137,87.66666412353516,24.313880920410156,0.08476779609918594,0.10868784040212631,0.09401250630617142,0.07908647507429123,0.11997107416391373,1.2390532493591309,1.1683367490768433,1.1679617166519165,1.1760506629943848,1.1110713481903076,0.29644736647605896,0.3641824722290039,0.34257277846336365,0.329071581363678,0.40931785106658936,0.09429057687520981,0.13467979431152344,0.12799544632434845,0.09946411103010178,0.25172263383865356,0.24312636256217957,0.3059193193912506,0.2670767605304718,0.27555909752845764,0.7072842717170715,0.016468456014990807,0.00903278961777687,0.009838920086622238,0.1460714340209961,0.01675162836909294,0.1800595223903656,0.0163918137550354,0.009144819341599941
0,29,6.324999809265137,5.858333110809326,6.5916666984558105,6.199999809265137,6.708333492279053,88.02782440185547,31.84318733215332,0.16604480147361755,0.21347180008888245,0.18940478563308716,0.17473697662353516,0.2292623370885849,1.0589503049850464,0.9657211303710938,1.026976466178894,1.0407443046569824,0.9144198298454285,0.4200415015220642,0.5040619373321533,0.45866891741752625,0.43250858783721924,0.5439992547035217,0.22074678540229797,0.26597413420677185,0.23705969750881195,0.22544638812541962,0.3428462743759155,0.3235057294368744,0.3838713765144348,0.355570912361145,0.3421705365180969,0.7534515261650085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
